norad_id,name,object_type,satellite_constellation,altitude_km,altitude_category,orbital_band,congestion_risk,inclination,eccentricity,launch_year_estimate,days_in_orbit_estimate,orbit_lifetime_category,mean_motion,epoch,data_source,snapshot_date,country,last_seen
900,CALSPHERE 1,PAYLOAD,Other,977.0347909609245,Low LEO,LEO-Polar,LOW,90.2207,0.00249874,2023,0,<1yr,13.76301334,2025-11-11 07:18:25.072704,celestrak,2025-11-11,US,2025-11-11
902,CALSPHERE 2,PAYLOAD,Other,1061.6854085292898,Mid LEO,LEO-Polar,LOW,90.235,0.0019946,2023,0,<1yr,13.52878854,2025-11-11 07:01:47.443872,celestrak,2025-11-11,US,2025-11-11
1361,LCS 1,PAYLOAD,Other,2787.8761226195684,High LEO,MEO,LOW,32.1458,0.00133615,2023,0,<1yr,9.89309205,2025-11-11 03:51:19.169856,celestrak,2025-11-11,US,2025-11-11
1512,TEMPSAT 1,PAYLOAD,Other,1133.2966793694586,Mid LEO,LEO-Polar,HIGH,89.9899,0.0070685,2023,0,<1yr,13.33578258,2025-11-11 06:20:57.798240,celestrak,2025-11-11,US,2025-11-11
1520,CALSPHERE 4A,PAYLOAD,Other,1123.3544920261393,Mid LEO,LEO-Polar,HIGH,89.9081,0.0069631,2023,0,<1yr,13.36230346,2025-11-11 04:08:42.803232,celestrak,2025-11-11,US,2025-11-11
2826,OPS 5712 (P/L 160),PAYLOAD,Other,650.2064348308413,Low LEO,LEO-Inclined,MEDIUM,69.9181,0.000476,2023,0,<1yr,14.73408937,2025-11-11 05:08:15.413856,celestrak,2025-11-11,US,2025-11-11
2866,LES-5,PAYLOAD,Other,33401.09040516632,MEO,MEO,LOW,2.1199,0.00552506,2023,0,<1yr,1.09425426,2025-11-11 04:12:30.328992,celestrak,2025-11-11,US,2025-11-11
2872,SURCAL 159,PAYLOAD,Other,895.4311586082904,Low LEO,LEO-Inclined,MEDIUM,69.9721,0.0005452,2023,0,<1yr,13.99527681,2025-11-11 04:15:50.459040,celestrak,2025-11-11,US,2025-11-11
2874,OPS 5712 (P/L 153),PAYLOAD,Other,904.9588706140285,Low LEO,LEO-Inclined,LOW,69.9737,0.00049342,2023,0,<1yr,13.96782296,2025-11-11 03:24:03.127104,celestrak,2025-11-11,US,2025-11-11
5204,OPS 3811 (DSP 2),PAYLOAD,Other,36389.38594761756,Beyond GEO,HEO,LOW,0.3769,0.00239961,2023,0,<1yr,0.98159337,2025-11-11 05:23:01.722336,celestrak,2025-11-11,US,2025-11-11
5398,RIGIDSPHERE 2 (LCS 4),PAYLOAD,Other,766.8367710358825,Low LEO,LEO-Polar,MEDIUM,87.6237,0.00585672,2023,0,<1yr,14.37479976,2025-11-11 06:35:13.548768,celestrak,2025-11-11,US,2025-11-11
7530,OSCAR 7 (AO-7),PAYLOAD,Other,1449.0848706310462,Mid LEO,LEO-Polar,LOW,101.9977,0.00121493,2023,1,<1yr,12.53693272,2025-11-10 23:15:18.510336,celestrak,2025-11-11,US,2025-11-11
7646,STARLETTE,PAYLOAD,Other,955.5762399297164,Low LEO,LEO-Inclined,LOW,49.8232,0.02056536,2023,0,<1yr,13.82346367,2025-11-11 06:34:02.832096,celestrak,2025-11-11,FR,2025-11-11
8820,LAGEOS 1,PAYLOAD,Other,5893.0477971030805,High LEO,MEO,LOW,109.839,0.00446624,2023,0,<1yr,6.38664854,2025-11-11 04:26:16.110816,celestrak,2025-11-11,US,2025-11-11
13086,OPS 8701 (DSP 10),PAYLOAD,Other,36380.95007008196,Beyond GEO,HEO,LOW,9.7352,0.00063821,2023,0,<1yr,0.98188387,2025-11-11 07:35:13.275168,celestrak,2025-11-11,US,2025-11-11
14129,PHASE 3B (AO-10),PAYLOAD,Other,19723.58890201907,MEO,MEO,MEDIUM,26.1411,0.60670698,2023,1,<1yr,2.05872778,2025-11-10 08:14:58.762752,celestrak,2025-11-11,GER,2025-11-11
14781,UOSAT 2 (UO-11),PAYLOAD,Other,598.0087979413911,Low LEO,LEO-Polar,HIGH,97.7768,0.00076166,2023,0,<1yr,14.8997657,2025-11-11 03:56:49.318944,celestrak,2025-11-11,UK,2025-11-11
16908,AJISAI (EGS),PAYLOAD,Other,1487.5252077904497,Mid LEO,LEO-Inclined,LOW,50.0078,0.00111871,2023,0,<1yr,12.44514109,2025-11-11 07:53:50.994816,celestrak,2025-11-11,JPN,2025-11-11
19548,TDRS 3,PAYLOAD,Other,35788.29640801952,GEO,GEO-Inclined,HIGH,12.7691,0.00407503,2023,0,<1yr,1.00265716,2025-11-11 05:31:09.050304,celestrak,2025-11-11,US,2025-11-11
19751,COSMOS 1989 (ETALON 1),PAYLOAD,Other,19125.584529700453,MEO,MEO,MEDIUM,64.8189,0.00234253,2023,1,<1yr,2.13155933,2025-11-10 15:05:05.928576,celestrak,2025-11-11,CIS,2025-11-11
20026,COSMOS 2024 (ETALON 2),PAYLOAD,Other,19121.715920664505,MEO,MEO,MEDIUM,65.069,0.00204461,2023,1,<1yr,2.13204442,2025-11-10 16:36:03.839904,celestrak,2025-11-11,CIS,2025-11-11
20253,FLTSATCOM 8 (USA 46),PAYLOAD,Other,35788.83864183793,GEO,GEO-Inclined,HIGH,12.483,0.00062494,2023,0,<1yr,1.00263782,2025-11-11 05:24:11.408256,celestrak,2025-11-11,US,2025-11-11
20442,LUSAT (LO-19),PAYLOAD,Other,778.3094612841096,Low LEO,LEO-Polar,MEDIUM,98.8981,0.00124942,2023,0,<1yr,14.34024668,2025-11-11 06:54:48.390048,celestrak,2025-11-11,ARGN,2025-11-11
20580,HST,PAYLOAD,Other,483.54311104270073,Very Low LEO,LEO-Equatorial,HIGH,28.4673,0.00014257,2023,1,<1yr,15.27415033,2025-11-10 18:47:22.414848,celestrak,2025-11-11,US,2025-11-11
20776,SKYNET 4C,PAYLOAD,Other,35785.61157011638,GEO,MEO,HIGH,13.413,0.00063863,2023,4,<1yr,1.00275293,2025-11-07 18:04:33.538080,celestrak,2025-11-11,UK,2025-11-11
20929,USA 65 (DSP 15),PAYLOAD,Other,36319.960555481266,Beyond GEO,HEO,LOW,14.1405,0.00016705,2023,1,<1yr,0.98398839,2025-11-10 21:09:03.403296,celestrak,2025-11-11,US,2025-11-11
21639,TDRS 5,PAYLOAD,Other,35786.694761209124,GEO,GEO-Inclined,HIGH,14.0988,0.00137627,2023,1,<1yr,1.00271429,2025-11-10 20:27:37.373760,celestrak,2025-11-11,US,2025-11-11
21805,USA 75 (DSP 16),PAYLOAD,Other,36092.81326221001,Beyond GEO,HEO,LOW,14.123,0.00018234,2023,1,<1yr,0.99189293,2025-11-10 09:57:02.570112,celestrak,2025-11-11,US,2025-11-11
22195,LAGEOS 2,PAYLOAD,Other,5783.751798332761,High LEO,MEO,LOW,52.6707,0.0137819,2023,8,<1yr,6.47293461,2025-11-03 16:50:33.175968,celestrak,2025-11-11,IT,2025-11-11
22314,TDRS 6,PAYLOAD,Other,35787.89521107356,GEO,GEO-Inclined,HIGH,14.1786,0.00099954,2023,0,<1yr,1.00267147,2025-11-11 05:32:44.509344,celestrak,2025-11-11,US,2025-11-11
22490,SCD 1,PAYLOAD,Other,738.8499012852044,Low LEO,LEO-Equatorial,MEDIUM,24.9685,0.00420339,2023,0,<1yr,14.45967435,2025-11-11 04:05:53.353824,celestrak,2025-11-11,BRAZ,2025-11-11
22787,UFO 2 (USA 95),PAYLOAD,Other,35786.01439470363,GEO,GEO-Inclined,HIGH,11.8204,0.00060833,2023,1,<1yr,1.00273856,2025-11-10 19:40:56.844768,celestrak,2025-11-11,US,2025-11-11
22824,STELLA,PAYLOAD,Other,800.2262205740171,Low LEO,LEO-Polar,MEDIUM,98.8054,0.00069733,2023,0,<1yr,14.27462203,2025-11-11 06:30:26.323200,celestrak,2025-11-11,FR,2025-11-11
22825,EYESAT A (AO-27),PAYLOAD,Other,788.8622852253939,Low LEO,LEO-Polar,MEDIUM,98.7189,0.00087848,2023,0,<1yr,14.30858607,2025-11-11 02:40:55.162848,celestrak,2025-11-11,US,2025-11-11
22826,ITAMSAT (IO-26),PAYLOAD,Other,787.4633225057178,Low LEO,LEO-Polar,MEDIUM,98.7137,0.00089906,2023,0,<1yr,14.31277654,2025-11-11 03:44:05.565408,celestrak,2025-11-11,IT,2025-11-11
22988,USA 99 (MILSTAR-1 1),PAYLOAD,Other,35786.31406655612,GEO,GEO-Inclined,HIGH,17.2944,0.00032933,2023,0,<1yr,1.00272787,2025-11-11 07:04:45.889248,celestrak,2025-11-11,US,2025-11-11
23439,RADIO ROSTO (RS-15),PAYLOAD,Other,2022.323111702165,High LEO,MEO,LOW,64.8168,0.0148575,2023,0,<1yr,11.27582043,2025-11-11 07:05:34.588608,celestrak,2025-11-11,CIS,2025-11-11
23467,UFO 4 (USA 108),PAYLOAD,Other,35785.91067416158,GEO,MEO,HIGH,9.6952,0.000431,2023,1,<1yr,1.00274226,2025-11-10 10:05:39.244704,celestrak,2025-11-11,US,2025-11-11
23613,TDRS 7,PAYLOAD,Other,35785.24631716897,GEO,MEO,HIGH,13.4687,0.00041142,2023,0,<1yr,1.00276596,2025-11-11 02:49:08.316768,celestrak,2025-11-11,US,2025-11-11
23712,USA 115 (MILSTAR-1 2),PAYLOAD,Other,35785.78060389687,GEO,MEO,HIGH,13.9938,0.00027431,2023,0,<1yr,1.0027469,2025-11-11 07:22:17.486112,celestrak,2025-11-11,US,2025-11-11
23802,POLAR,PAYLOAD,Other,29112.62117105097,MEO,MEO,LOW,79.5932,0.62471448,2023,9,<1yr,1.2984638,2025-11-02 14:14:54.866112,celestrak,2025-11-11,US,2025-11-11
23839,INMARSAT 3-F1,PAYLOAD,Other,35864.419152855764,GEO,GEO-Inclined,HIGH,10.1448,0.00091812,2023,1,<1yr,0.99994814,2025-11-10 15:01:18.416640,celestrak,2025-11-11,IM,2025-11-11
23893,USA 119,PAYLOAD,Other,1089.0332050799389,Mid LEO,LEO-Inclined,LOW,63.3245,0.08401684,2023,0,<1yr,13.45453479,2025-11-11 06:17:26.552832,celestrak,2025-11-11,US,2025-11-11
24278,JAS-2 (FO-29),PAYLOAD,Other,1060.2897689476167,Mid LEO,LEO-Polar,LOW,98.5488,0.03490839,2023,0,<1yr,13.53259624,2025-11-11 04:51:47.864448,celestrak,2025-11-11,JPN,2025-11-11
24307,INMARSAT 3-F2,PAYLOAD,Other,35863.41770039889,GEO,GEO-Inclined,HIGH,9.3619,0.00064121,2023,0,<1yr,0.9999837,2025-11-11 00:43:35.347008,celestrak,2025-11-11,IM,2025-11-11
24674,INMARSAT 3-F3,PAYLOAD,Other,35869.40364156238,GEO,GEO-Inclined,HIGH,9.8458,0.00085537,2023,0,<1yr,0.99977118,2025-11-11 05:18:01.704384,celestrak,2025-11-11,IM,2025-11-11
24876,NAVSTAR 43 (USA 132),PAYLOAD,Other,20182.23571414411,MEO,MEO,MEDIUM,55.8795,0.00964697,2023,1,<1yr,2.00563322,2025-11-10 19:45:53.504352,celestrak,2025-11-11,US,2025-11-11
24920,FORTE,PAYLOAD,Other,799.0705527288255,Low LEO,LEO-Inclined,MEDIUM,69.9507,0.00238652,2023,0,<1yr,14.2780699,2025-11-11 05:35:15.720576,celestrak,2025-11-11,US,2025-11-11
24936,AMC-3,PAYLOAD,Other,35786.808298465025,GEO,GEO-Inclined,HIGH,7.613,0.00032485,2023,0,<1yr,1.00271024,2025-11-11 06:16:15.171744,celestrak,2025-11-11,SES,2025-11-11
25019,USA 134,PAYLOAD,Other,35786.4727350063,GEO,GEO-Inclined,HIGH,12.525,0.00054718,2023,0,<1yr,1.00272221,2025-11-11 07:15:26.751744,celestrak,2025-11-11,US,2025-11-11
