datetime,symbol,open,high,low,close,volume
01-01-2024 23:00,NYMEX:CL1!,71.71,72.28,71.63,71.96,3240
02-01-2024 00:00,NYMEX:CL1!,71.95,72.1,71.91,71.97,1060
02-01-2024 01:00,NYMEX:CL1!,71.96,72.94,71.94,72.44,9083
02-01-2024 02:00,NYMEX:CL1!,72.45,72.79,72.44,72.65,2909
02-01-2024 03:00,NYMEX:CL1!,72.65,72.84,72.65,72.7,2425
02-01-2024 04:00,NYMEX:CL1!,72.7,72.8,72.63,72.77,1118
02-01-2024 05:00,NYMEX:CL1!,72.78,72.9,72.7,72.88,1536
02-01-2024 06:00,NYMEX:CL1!,72.89,73.01,72.82,72.94,2593
02-01-2024 07:00,NYMEX:CL1!,72.93,72.95,72.62,72.67,3216
02-01-2024 08:00,NYMEX:CL1!,72.67,72.94,72.43,72.88,8716
02-01-2024 09:00,NYMEX:CL1!,72.87,73.17,72.71,73.1,9193
02-01-2024 10:00,NYMEX:CL1!,73.1,73.49,73.08,73.48,8126
02-01-2024 11:00,NYMEX:CL1!,73.47,73.54,73.02,73.24,7671
02-01-2024 12:00,NYMEX:CL1!,73.24,73.44,72.93,73.16,10236
02-01-2024 13:00,NYMEX:CL1!,73.17,73.64,72.93,73.51,18943
02-01-2024 14:00,NYMEX:CL1!,73.51,73.55,71.33,71.65,47594
02-01-2024 15:00,NYMEX:CL1!,71.66,72.14,71.43,71.54,28950
02-01-2024 16:00,NYMEX:CL1!,71.53,71.73,70.32,70.86,35898
02-01-2024 17:00,NYMEX:CL1!,70.87,71.36,70.56,71.2,15469
02-01-2024 18:00,NYMEX:CL1!,71.2,71.25,70.27,70.3,17144
02-01-2024 19:00,NYMEX:CL1!,70.28,70.6,70.06,70.49,21947
02-01-2024 20:00,NYMEX:CL1!,70.5,70.63,70.4,70.41,5690
02-01-2024 21:00,NYMEX:CL1!,70.4,70.61,70.38,70.5,2826
02-01-2024 23:00,NYMEX:CL1!,70.5,70.58,70.43,70.5,1251
03-01-2024 00:00,NYMEX:CL1!,70.49,70.54,70.45,70.52,1075
03-01-2024 01:00,NYMEX:CL1!,70.52,70.7,70.31,70.33,3741
03-01-2024 02:00,NYMEX:CL1!,70.32,70.46,70.31,70.43,886
03-01-2024 03:00,NYMEX:CL1!,70.42,70.5,70.28,70.36,1379
03-01-2024 04:00,NYMEX:CL1!,70.35,70.38,70.31,70.34,450
03-01-2024 05:00,NYMEX:CL1!,70.33,70.34,70.08,70.28,1996
03-01-2024 06:00,NYMEX:CL1!,70.29,70.54,70.17,70.4,2629
03-01-2024 07:00,NYMEX:CL1!,70.38,70.4,70.03,70.07,2866
03-01-2024 08:00,NYMEX:CL1!,70.06,70.1,69.66,69.96,11257
03-01-2024 09:00,NYMEX:CL1!,69.95,70.17,69.28,69.96,13113
03-01-2024 10:00,NYMEX:CL1!,69.96,70.2,69.79,69.81,8145
03-01-2024 11:00,NYMEX:CL1!,69.82,70.46,69.82,70.43,7178
03-01-2024 12:00,NYMEX:CL1!,70.43,71.05,70.27,70.98,16267
03-01-2024 13:00,NYMEX:CL1!,70.97,71.24,70.58,70.67,17813
03-01-2024 14:00,NYMEX:CL1!,70.67,72.14,70.49,72.09,38202
